,date,open,high,low,close,volume
0,2021-05-17 00:00:00,1.40976,1.40976,1.40972,1.40972,2.0
1,2021-05-17 00:01:00,1.40976,1.40976,1.40972,1.40976,5.0
2,2021-05-17 00:02:00,1.40972,1.40976,1.40924,1.40924,16.0
3,2021-05-17 00:03:00,1.40947,1.40947,1.40943,1.40943,3.0
4,2021-05-17 00:04:00,1.40942,1.40942,1.40942,1.40942,1.0
5,2021-05-17 00:05:00,1.40954,1.40954,1.40942,1.40954,3.0
6,2021-05-17 00:09:00,1.4094,1.40952,1.4094,1.40952,4.0
7,2021-05-17 00:11:00,1.4094,1.40977,1.4094,1.40957,5.0
8,2021-05-17 00:53:00,1.40912,1.40912,1.40912,1.40912,1.0
9,2021-05-17 00:55:00,1.40911,1.40911,1.40911,1.40911,1.0
10,2021-05-17 00:56:00,1.40912,1.40912,1.40912,1.40912,1.0
11,2021-05-17 00:57:00,1.40913,1.40913,1.40913,1.40913,1.0
12,2021-05-17 00:58:00,1.40917,1.40918,1.40914,1.40917,6.0
13,2021-05-17 00:59:00,1.40917,1.40919,1.40917,1.40919,2.0
14,2021-05-17 01:00:00,1.40921,1.40985,1.40918,1.40973,42.0
15,2021-05-17 01:01:00,1.40992,1.41005,1.40963,1.40999,67.0
16,2021-05-17 01:02:00,1.40993,1.40995,1.40975,1.40984,26.0
17,2021-05-17 01:03:00,1.40985,1.40998,1.40984,1.40993,33.0
18,2021-05-17 01:04:00,1.40992,1.40995,1.40982,1.40995,43.0
19,2021-05-17 01:05:00,1.40994,1.41014,1.40992,1.41014,40.0
20,2021-05-17 01:06:00,1.41015,1.41024,1.41014,1.41015,40.0
21,2021-05-17 01:07:00,1.41015,1.41022,1.41015,1.41016,26.0
22,2021-05-17 01:08:00,1.41017,1.41021,1.41017,1.41021,6.0
23,2021-05-17 01:09:00,1.41021,1.41023,1.41021,1.41023,11.0
24,2021-05-17 01:10:00,1.41025,1.41026,1.41017,1.41017,29.0
25,2021-05-17 01:11:00,1.41017,1.41017,1.41017,1.41017,7.0
26,2021-05-17 01:12:00,1.41017,1.41017,1.41017,1.41017,4.0
27,2021-05-17 01:13:00,1.41017,1.41017,1.41017,1.41017,6.0
28,2021-05-17 01:14:00,1.41017,1.41026,1.41017,1.41025,13.0
29,2021-05-17 01:15:00,1.41025,1.41035,1.41025,1.41035,12.0
30,2021-05-17 01:16:00,1.41034,1.41036,1.41034,1.41035,9.0
31,2021-05-17 01:17:00,1.41035,1.41037,1.41035,1.41037,13.0
32,2021-05-17 01:18:00,1.41031,1.41046,1.4103,1.41036,19.0
33,2021-05-17 01:19:00,1.41036,1.41037,1.41035,1.41035,13.0
34,2021-05-17 01:20:00,1.41037,1.41038,1.41028,1.41028,32.0
35,2021-05-17 01:21:00,1.41027,1.41027,1.41026,1.41026,30.0
36,2021-05-17 01:22:00,1.41026,1.41027,1.41026,1.41026,11.0
37,2021-05-17 01:23:00,1.41026,1.41035,1.41022,1.41035,19.0
38,2021-05-17 01:24:00,1.4103,1.41032,1.41021,1.41021,11.0
39,2021-05-17 01:25:00,1.41016,1.41018,1.41016,1.41016,8.0
40,2021-05-17 01:26:00,1.41018,1.41018,1.41016,1.41016,14.0
41,2021-05-17 01:27:00,1.41016,1.41016,1.4101,1.4101,17.0
42,2021-05-17 01:28:00,1.4101,1.41011,1.41008,1.41009,10.0
43,2021-05-17 01:29:00,1.41009,1.41009,1.41008,1.41008,8.0
44,2021-05-17 01:30:00,1.41013,1.41019,1.41008,1.41008,33.0
45,2021-05-17 01:31:00,1.41008,1.41009,1.40998,1.41,29.0
46,2021-05-17 01:32:00,1.40998,1.41005,1.40998,1.41005,7.0
47,2021-05-17 01:33:00,1.41005,1.41012,1.41002,1.41012,6.0
48,2021-05-17 01:34:00,1.41012,1.41012,1.41003,1.41005,7.0
49,2021-05-17 01:35:00,1.41005,1.41005,1.41003,1.41005,12.0
50,2021-05-17 01:36:00,1.41005,1.41005,1.40992,1.40993,13.0
51,2021-05-17 01:37:00,1.40993,1.40993,1.40991,1.40991,9.0
52,2021-05-17 01:38:00,1.40986,1.40986,1.40972,1.40972,8.0
53,2021-05-17 01:39:00,1.40971,1.40971,1.40971,1.40971,3.0
54,2021-05-17 01:40:00,1.40973,1.40976,1.4097,1.40976,18.0
55,2021-05-17 01:41:00,1.40976,1.40976,1.40976,1.40976,2.0
56,2021-05-17 01:42:00,1.40984,1.40996,1.40984,1.40996,21.0
57,2021-05-17 01:43:00,1.40996,1.41001,1.40973,1.40973,24.0
58,2021-05-17 01:44:00,1.40973,1.40973,1.40972,1.40973,8.0
59,2021-05-17 01:45:00,1.40973,1.40973,1.40967,1.40968,8.0
60,2021-05-17 01:46:00,1.40965,1.40973,1.40965,1.40973,9.0
61,2021-05-17 01:47:00,1.40973,1.40973,1.40972,1.40972,9.0
