,date,open,high,low,close,volume
0,2021-05-17 00:00:00,1.21459,1.2148,1.21448,1.2145,6.0
1,2021-05-17 00:01:00,1.21456,1.21456,1.2145,1.2145,2.0
2,2021-05-17 00:02:00,1.21417,1.21417,1.2141,1.2141,5.0
3,2021-05-17 00:03:00,1.21416,1.21416,1.21416,1.21416,1.0
4,2021-05-17 00:04:00,1.21415,1.21415,1.21415,1.21415,1.0
5,2021-05-17 00:05:00,1.21416,1.21428,1.21372,1.21372,10.0
6,2021-05-17 00:06:00,1.21428,1.21428,1.21426,1.21428,4.0
7,2021-05-17 00:07:00,1.21426,1.21426,1.21426,1.21426,1.0
8,2021-05-17 00:10:00,1.21368,1.21422,1.21367,1.21422,3.0
9,2021-05-17 00:11:00,1.21418,1.21432,1.21418,1.21432,4.0
10,2021-05-17 00:12:00,1.21438,1.21451,1.21399,1.21436,7.0
11,2021-05-17 00:14:00,1.21424,1.21426,1.21424,1.21426,2.0
12,2021-05-17 00:17:00,1.21428,1.21428,1.21426,1.21426,2.0
13,2021-05-17 00:20:00,1.21425,1.21425,1.21425,1.21425,1.0
14,2021-05-17 00:22:00,1.21434,1.21434,1.21434,1.21434,1.0
15,2021-05-17 00:23:00,1.21432,1.21435,1.2143,1.2143,4.0
16,2021-05-17 00:24:00,1.21429,1.21429,1.21429,1.21429,1.0
17,2021-05-17 01:13:00,1.21467,1.21471,1.21466,1.21471,21.0
18,2021-05-17 01:14:00,1.2147,1.21474,1.21469,1.21469,11.0
19,2021-05-17 01:15:00,1.21469,1.21478,1.21469,1.21476,12.0
20,2021-05-17 01:16:00,1.21476,1.21476,1.21475,1.21476,12.0
21,2021-05-17 01:17:00,1.21478,1.21493,1.21478,1.21493,17.0
22,2021-05-17 01:18:00,1.21493,1.215,1.21493,1.21498,17.0
23,2021-05-17 01:19:00,1.21498,1.215,1.21497,1.215,9.0
24,2021-05-17 01:20:00,1.215,1.215,1.21496,1.21497,10.0
25,2021-05-17 01:21:00,1.21498,1.21498,1.21491,1.21494,19.0
26,2021-05-17 01:22:00,1.21496,1.21497,1.21496,1.21497,6.0
27,2021-05-17 01:23:00,1.21496,1.215,1.21496,1.21499,4.0
28,2021-05-17 01:24:00,1.21496,1.21496,1.21487,1.21487,12.0
29,2021-05-17 01:26:00,1.21483,1.21483,1.21483,1.21483,1.0
30,2021-05-17 01:27:00,1.21486,1.21486,1.21484,1.21484,4.0
31,2021-05-17 01:28:00,1.21485,1.21485,1.21485,1.21485,1.0
32,2021-05-17 01:29:00,1.21486,1.21487,1.21485,1.21485,5.0
33,2021-05-17 01:30:00,1.21486,1.21489,1.21483,1.21483,15.0
34,2021-05-17 01:31:00,1.21482,1.21482,1.2147,1.2147,14.0
35,2021-05-17 01:32:00,1.21471,1.21473,1.21471,1.21473,12.0
36,2021-05-17 01:33:00,1.21473,1.21474,1.21473,1.21474,10.0
37,2021-05-17 01:34:00,1.21474,1.21475,1.21473,1.21473,7.0
38,2021-05-17 01:35:00,1.21474,1.21474,1.21474,1.21474,6.0
39,2021-05-17 01:36:00,1.21475,1.21475,1.21473,1.21473,5.0
40,2021-05-17 01:37:00,1.21471,1.21471,1.21465,1.21465,8.0
41,2021-05-17 01:38:00,1.21464,1.21464,1.2146,1.21463,7.0
42,2021-05-17 01:39:00,1.21463,1.21463,1.21459,1.21459,9.0
43,2021-05-17 01:40:00,1.2146,1.21465,1.21459,1.21464,6.0
44,2021-05-17 01:42:00,1.21464,1.21469,1.21464,1.21466,6.0
45,2021-05-17 01:43:00,1.21466,1.21467,1.21465,1.21465,9.0
46,2021-05-17 01:44:00,1.21464,1.21464,1.21462,1.21462,15.0
47,2021-05-17 01:45:00,1.21462,1.21462,1.21461,1.21461,10.0
48,2021-05-17 01:46:00,1.21462,1.21465,1.21462,1.21465,8.0
49,2021-05-17 01:47:00,1.21465,1.21465,1.21464,1.21464,10.0
50,2021-05-17 01:48:00,1.21464,1.21464,1.21459,1.21459,4.0
51,2021-05-17 01:49:00,1.2146,1.21461,1.21459,1.2146,5.0
52,2021-05-17 01:50:00,1.2146,1.2146,1.2146,1.2146,25.0
53,2021-05-17 01:51:00,1.2146,1.21461,1.2146,1.21461,9.0
54,2021-05-17 01:52:00,1.21461,1.21461,1.21461,1.21461,8.0
55,2021-05-17 01:53:00,1.21461,1.21465,1.21461,1.21462,13.0
56,2021-05-17 01:54:00,1.21462,1.21465,1.21462,1.21465,13.0
57,2021-05-17 01:55:00,1.21467,1.21471,1.21467,1.21471,3.0
58,2021-05-17 01:56:00,1.21469,1.2147,1.21468,1.21469,10.0
59,2021-05-17 01:57:00,1.21469,1.21469,1.21465,1.21468,6.0
60,2021-05-17 01:58:00,1.21466,1.21466,1.21464,1.21464,3.0
61,2021-05-17 02:45:00,1.21497,1.21497,1.2149,1.21491,12.0
62,2021-05-17 02:46:00,1.21491,1.21496,1.21491,1.21493,8.0
63,2021-05-17 02:47:00,1.21491,1.21501,1.21491,1.21501,12.0
64,2021-05-17 02:48:00,1.21502,1.21504,1.21496,1.21496,19.0
65,2021-05-17 02:49:00,1.21496,1.21499,1.21495,1.21499,15.0
66,2021-05-17 02:50:00,1.215,1.21504,1.21496,1.21497,14.0
67,2021-05-17 02:51:00,1.21497,1.21502,1.21497,1.21501,9.0
68,2021-05-17 02:52:00,1.215,1.21509,1.215,1.21507,15.0
69,2021-05-17 02:53:00,1.21508,1.21508,1.21503,1.21506,11.0
70,2021-05-17 02:54:00,1.21507,1.2151,1.21505,1.2151,7.0
71,2021-05-17 02:55:00,1.21509,1.21511,1.21508,1.21511,5.0
72,2021-05-17 02:56:00,1.21512,1.21512,1.21506,1.2151,8.0
73,2021-05-17 02:57:00,1.21511,1.21511,1.21505,1.21505,5.0
74,2021-05-17 02:58:00,1.21504,1.21504,1.21501,1.21501,4.0
75,2021-05-17 02:59:00,1.215,1.215,1.21498,1.21499,5.0
76,2021-05-17 03:00:00,1.21493,1.21493,1.21471,1.21472,63.0
77,2021-05-17 03:01:00,1.21472,1.21486,1.21471,1.21476,34.0
78,2021-05-17 03:02:00,1.21476,1.21477,1.21472,1.21476,11.0
79,2021-05-17 03:03:00,1.21475,1.21476,1.2146,1.2146,24.0
80,2021-05-17 03:04:00,1.21459,1.21466,1.21456,1.21462,28.0
81,2021-05-17 03:05:00,1.21464,1.21466,1.2146,1.21462,23.0
82,2021-05-17 03:06:00,1.21464,1.21464,1.2146,1.21463,17.0
83,2021-05-17 03:07:00,1.21462,1.21462,1.21444,1.21454,34.0
84,2021-05-17 03:08:00,1.21456,1.21459,1.21455,1.21458,7.0
85,2021-05-17 03:09:00,1.21457,1.21458,1.21445,1.21453,23.0
86,2021-05-17 03:10:00,1.21452,1.21452,1.2144,1.2144,21.0
87,2021-05-17 03:11:00,1.21439,1.21441,1.21437,1.2144,15.0
88,2021-05-17 03:12:00,1.21441,1.21441,1.21425,1.2143,27.0
89,2021-05-17 03:13:00,1.21428,1.21429,1.21404,1.21404,37.0
90,2021-05-17 03:14:00,1.21405,1.21408,1.21387,1.21393,31.0
91,2021-05-17 03:15:00,1.21393,1.21406,1.21386,1.21386,50.0
92,2021-05-17 03:16:00,1.21388,1.21397,1.21386,1.21392,31.0
93,2021-05-17 03:17:00,1.21391,1.21396,1.21386,1.2139,23.0
94,2021-05-17 03:18:00,1.21389,1.2139,1.21384,1.21385,26.0
95,2021-05-17 03:19:00,1.21385,1.21396,1.21384,1.21391,41.0
96,2021-05-17 03:20:00,1.21393,1.21402,1.21391,1.21396,28.0
97,2021-05-17 03:21:00,1.21397,1.21403,1.21385,1.2139,33.0
98,2021-05-17 03:22:00,1.21391,1.21391,1.21387,1.21387,9.0
99,2021-05-17 03:23:00,1.21387,1.2139,1.21386,1.2139,21.0
100,2021-05-17 03:24:00,1.2139,1.2139,1.2139,1.2139,3.0
101,2021-05-17 03:25:00,1.21391,1.21391,1.2139,1.2139,6.0
102,2021-05-17 03:26:00,1.21388,1.21388,1.21376,1.21376,19.0
103,2021-05-17 03:27:00,1.21376,1.21376,1.21356,1.21356,14.0
104,2021-05-17 03:28:00,1.21357,1.21367,1.21356,1.21361,34.0
105,2021-05-17 03:29:00,1.21361,1.21362,1.21353,1.21356,23.0
106,2021-05-17 03:30:00,1.21357,1.21362,1.21356,1.21356,26.0
