datetime,open,high,low,close
2021-03-17 07:36:00,0.77334,0.77343,0.77334,0.77342
2021-03-17 07:37:00,0.77341,0.77344,0.77336,0.77344
2021-03-17 07:38:00,0.77343,0.77344,0.77337,0.77344
2021-03-17 07:39:00,0.77345,0.77349,0.77339,0.77347
2021-03-17 07:40:00,0.77346,0.77348,0.77341,0.77343
2021-03-17 07:41:00,0.77344,0.77354,0.77343,0.77354
2021-03-17 07:42:00,0.77353,0.77355,0.77349,0.77351
2021-03-17 07:43:00,0.77351,0.77351,0.77345,0.77346
2021-03-17 07:44:00,0.77347,0.77359,0.77346,0.77354
2021-03-17 07:45:00,0.77353,0.77357,0.7735,0.77352
2021-03-17 07:46:00,0.77352,0.77352,0.77347,0.77349
2021-03-17 07:47:00,0.77353,0.7736,0.77353,0.77355
2021-03-17 07:48:00,0.77354,0.7736,0.77354,0.77358
2021-03-17 07:49:00,0.77359,0.7736,0.77348,0.77348
2021-03-17 07:50:00,0.77348,0.77348,0.77341,0.77341
2021-03-17 07:51:00,0.77341,0.77341,0.77333,0.77333
2021-03-17 07:52:00,0.77332,0.77341,0.7733,0.77339
2021-03-17 07:53:00,0.77338,0.77349,0.77337,0.77349
2021-03-17 07:54:00,0.77348,0.77348,0.77344,0.77346
2021-03-17 07:55:00,0.77347,0.77348,0.77344,0.77348
2021-03-17 07:56:00,0.77349,0.77349,0.77344,0.77347
2021-03-17 07:57:00,0.77347,0.77348,0.77346,0.77346
2021-03-17 07:58:00,0.77346,0.77355,0.77345,0.77355
2021-03-17 07:59:00,0.77355,0.7736,0.77354,0.77356
2021-03-17 08:00:00,0.77355,0.77355,0.7735,0.77355
2021-03-17 08:01:00,0.77356,0.77365,0.77356,0.77363
2021-03-17 08:02:00,0.77363,0.77363,0.77353,0.77354
2021-03-17 08:03:00,0.77354,0.77354,0.77343,0.77344
2021-03-17 08:04:00,0.77344,0.77344,0.77338,0.77338
2021-03-17 08:05:00,0.77338,0.7734,0.77337,0.7734
2021-03-17 08:06:00,0.77341,0.77352,0.77341,0.77349
2021-03-17 08:07:00,0.7735,0.7735,0.77335,0.77335
2021-03-17 08:08:00,0.77336,0.77342,0.77335,0.77338
2021-03-17 08:09:00,0.77338,0.77344,0.77336,0.77342
2021-03-17 08:10:00,0.77343,0.77343,0.77336,0.77338
2021-03-17 08:11:00,0.77338,0.77339,0.77335,0.77338
2021-03-17 08:12:00,0.77338,0.77338,0.77337,0.77338
2021-03-17 08:13:00,0.77337,0.77337,0.77321,0.77324
2021-03-17 08:14:00,0.77324,0.77324,0.77298,0.77303
2021-03-17 08:15:00,0.77304,0.77305,0.77298,0.77301
2021-03-17 08:16:00,0.77302,0.77309,0.77302,0.77307
2021-03-17 08:17:00,0.77308,0.77309,0.77304,0.77304
2021-03-17 08:18:00,0.77304,0.77304,0.77297,0.77303
2021-03-17 08:19:00,0.77304,0.77309,0.77304,0.77307
2021-03-17 08:20:00,0.77307,0.77307,0.77299,0.77303
2021-03-17 08:21:00,0.77302,0.77303,0.773,0.77303
2021-03-17 08:22:00,0.77302,0.77308,0.77302,0.77307
2021-03-17 08:23:00,0.77307,0.77309,0.77305,0.77308
2021-03-17 08:24:00,0.77307,0.77307,0.77297,0.77297
2021-03-17 08:25:00,0.77298,0.773,0.77294,0.77297
2021-03-17 08:26:00,0.77298,0.77298,0.77291,0.77293
2021-03-17 08:27:00,0.77292,0.773,0.77292,0.77293
2021-03-17 08:28:00,0.77293,0.77294,0.77293,0.77294
2021-03-17 08:29:00,0.77294,0.77302,0.77294,0.77301
2021-03-17 08:30:00,0.77302,0.77313,0.77299,0.77309
2021-03-17 08:31:00,0.77308,0.77309,0.77299,0.77304
2021-03-17 08:32:00,0.77303,0.77304,0.77302,0.77304
2021-03-17 08:33:00,0.77303,0.77305,0.773,0.773
2021-03-17 08:34:00,0.77299,0.77299,0.77291,0.77297
2021-03-17 08:35:00,0.77296,0.77296,0.77289,0.77291
2021-03-17 08:36:00,0.77291,0.77294,0.77289,0.77289
2021-03-17 08:37:00,0.77289,0.77299,0.77286,0.77298
2021-03-17 08:38:00,0.77299,0.77305,0.77297,0.77305
2021-03-17 08:39:00,0.77306,0.77306,0.77296,0.77302
2021-03-17 08:40:00,0.77303,0.77319,0.77303,0.77319
2021-03-17 08:41:00,0.7732,0.7732,0.77315,0.77319
2021-03-17 08:42:00,0.77319,0.77319,0.77314,0.77315
2021-03-17 08:43:00,0.77315,0.77316,0.77306,0.77307
2021-03-17 08:44:00,0.77307,0.77314,0.77298,0.77298
2021-03-17 08:45:00,0.77298,0.77305,0.77296,0.77305
2021-03-17 08:46:00,0.77304,0.77307,0.77299,0.77306
2021-03-17 08:47:00,0.77305,0.77313,0.77303,0.77303
2021-03-17 08:48:00,0.77304,0.77309,0.77297,0.77298
2021-03-17 08:49:00,0.77298,0.77302,0.77294,0.773
2021-03-17 08:50:00,0.773,0.77305,0.77298,0.77305
2021-03-17 08:51:00,0.77305,0.77305,0.77303,0.77304
2021-03-17 08:52:00,0.77304,0.77306,0.77298,0.773
2021-03-17 08:53:00,0.77303,0.77306,0.77298,0.773
2021-03-17 08:54:00,0.773,0.773,0.77297,0.77299
2021-03-17 08:55:00,0.77301,0.77304,0.77298,0.77299
2021-03-17 08:56:00,0.77298,0.77305,0.77298,0.77299
2021-03-17 08:57:00,0.773,0.77304,0.77288,0.77288
2021-03-17 08:58:00,0.77288,0.77288,0.7728,0.77281
2021-03-17 08:59:00,0.77281,0.77282,0.77273,0.77273
2021-03-17 09:00:00,0.77274,0.77274,0.77269,0.77271
2021-03-17 09:01:00,0.7727,0.77276,0.77264,0.77265
2021-03-17 09:02:00,0.77267,0.77298,0.77267,0.77297
2021-03-17 09:03:00,0.77297,0.773,0.77292,0.77293
2021-03-17 09:04:00,0.77292,0.77292,0.77285,0.77291
2021-03-17 09:05:00,0.7729,0.7729,0.77278,0.77279
2021-03-17 09:06:00,0.7728,0.77285,0.77278,0.7728
2021-03-17 09:07:00,0.7728,0.77299,0.7728,0.77299
2021-03-17 09:08:00,0.77299,0.77299,0.7729,0.77299
2021-03-17 09:09:00,0.77299,0.77305,0.77296,0.77304
2021-03-17 09:10:00,0.77305,0.77314,0.77305,0.77314
2021-03-17 09:11:00,0.77313,0.77313,0.77304,0.77307
2021-03-17 09:12:00,0.77307,0.77323,0.77307,0.77323
2021-03-17 09:13:00,0.77325,0.77329,0.77323,0.77329
2021-03-17 09:14:00,0.77329,0.77329,0.77322,0.77324
2021-03-17 09:15:00,0.77324,0.77328,0.77316,0.77328
2021-03-17 09:16:00,0.77328,0.77329,0.77321,0.77328
2021-03-17 09:17:00,0.77328,0.77344,0.77328,0.77344
2021-03-17 09:18:00,0.77344,0.77344,0.77336,0.77344
2021-03-17 09:19:00,0.77344,0.77348,0.77342,0.77348
2021-03-17 09:20:00,0.77349,0.77354,0.77347,0.77348
2021-03-17 09:21:00,0.77347,0.7736,0.77347,0.7736
2021-03-17 09:22:00,0.7736,0.77362,0.77354,0.77358
2021-03-17 09:23:00,0.77358,0.77361,0.77345,0.77348
2021-03-17 09:24:00,0.77349,0.77354,0.77346,0.77353
2021-03-17 09:25:00,0.77355,0.77355,0.77343,0.77345
2021-03-17 09:26:00,0.77346,0.77356,0.77345,0.77355
2021-03-17 09:27:00,0.77357,0.77366,0.77354,0.77364
2021-03-17 09:28:00,0.77366,0.77367,0.77363,0.77363
2021-03-17 09:29:00,0.77362,0.77368,0.77358,0.7736
2021-03-17 09:30:00,0.7736,0.77369,0.77357,0.77368
2021-03-17 09:31:00,0.77368,0.77368,0.77361,0.77363
2021-03-17 09:32:00,0.77364,0.77373,0.77364,0.7737
2021-03-17 09:33:00,0.77369,0.7737,0.77364,0.77364
2021-03-17 09:34:00,0.77364,0.77364,0.77352,0.77352
2021-03-17 09:35:00,0.77351,0.77351,0.7734,0.77344
2021-03-17 09:36:00,0.77343,0.77344,0.77335,0.77339
2021-03-17 09:37:00,0.77338,0.77346,0.77336,0.77346
2021-03-17 09:38:00,0.77346,0.77351,0.7734,0.7734
2021-03-17 09:39:00,0.77339,0.77343,0.77338,0.77339
2021-03-17 09:40:00,0.77339,0.77342,0.77337,0.77338
2021-03-17 09:41:00,0.77338,0.77339,0.77334,0.77339
2021-03-17 09:42:00,0.77339,0.77345,0.77335,0.77345
2021-03-17 09:43:00,0.77345,0.77347,0.77334,0.7734
2021-03-17 09:44:00,0.77339,0.77363,0.77339,0.77358
2021-03-17 09:45:00,0.77358,0.7737,0.77356,0.77367
2021-03-17 09:46:00,0.77367,0.77368,0.77356,0.77358
2021-03-17 09:47:00,0.77359,0.77359,0.77353,0.77353
2021-03-17 09:48:00,0.77354,0.77354,0.77344,0.77344
2021-03-17 09:49:00,0.77344,0.77344,0.77339,0.77339
2021-03-17 09:50:00,0.77339,0.7735,0.77334,0.77345
2021-03-17 09:51:00,0.77345,0.77353,0.77338,0.77353
2021-03-17 09:52:00,0.77353,0.77353,0.77346,0.77352
2021-03-17 09:53:00,0.77352,0.7736,0.77352,0.77358
2021-03-17 09:54:00,0.77358,0.77363,0.77356,0.77358
2021-03-17 09:55:00,0.77358,0.77367,0.77358,0.77367
2021-03-17 09:56:00,0.77367,0.77375,0.77366,0.77368
2021-03-17 09:57:00,0.77368,0.77368,0.77362,0.77365
2021-03-17 09:58:00,0.77364,0.77366,0.77359,0.77359
2021-03-17 09:59:00,0.7736,0.77379,0.77357,0.77379
2021-03-17 10:00:00,0.77381,0.77385,0.77362,0.77363
2021-03-17 10:01:00,0.77362,0.77371,0.77355,0.77371
2021-03-17 10:02:00,0.77372,0.77384,0.77372,0.77378
2021-03-17 10:03:00,0.77376,0.77393,0.77374,0.77382
2021-03-17 10:04:00,0.77383,0.77389,0.77372,0.77377
2021-03-17 10:05:00,0.77377,0.77379,0.77342,0.77343
2021-03-17 10:06:00,0.77343,0.77351,0.7734,0.77344
2021-03-17 10:07:00,0.77343,0.77349,0.77339,0.77341
2021-03-17 10:08:00,0.77341,0.77354,0.77341,0.7735
2021-03-17 10:09:00,0.7735,0.77358,0.77348,0.77348
2021-03-17 10:10:00,0.77347,0.77352,0.77338,0.77343
2021-03-17 10:11:00,0.77342,0.77343,0.77334,0.77342
2021-03-17 10:12:00,0.77343,0.77348,0.77339,0.77339
